# format	robotrace-shortcut-course-v1
# course_id	2015alljapan
# source_file	examples/synthetic/2015alljapan.json
# source_hash	6e913302c42295310b49615c627cdf177cc89d23dac0ce2c64a5487a12c118ea
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
4370	274.593231	-1056.4884
4380	264.855164	-1058.76221
4390	255.127533	-1061.08008
4400	245.410538	-1063.44226
4410	235.704391	-1065.84863
4420	226.009262	-1068.29895
4430	216.325378	-1070.79346
4440	206.652939	-1073.33191
4450	196.992126	-1075.91431
4460	187.34317	-1078.54053
4470	177.706238	-1081.21057
4480	168.081543	-1083.92444
4490	158.469284	-1086.68213
4500	148.869659	-1089.48328
4510	139.282867	-1092.32825
4520	129.709106	-1095.21655
4530	120.148567	-1098.14844
4540	110.601456	-1101.12378
4550	101.06797	-1104.14246
4560	91.5483017	-1107.20447
4570	82.0426559	-1110.30969
4580	72.5512161	-1113.45813
4590	63.0741882	-1116.64966
4600	53.611763	-1119.88416
4610	44.1641388	-1123.16174
4620	34.7315102	-1126.48218
4630	25.3140717	-1129.84546
4640	15.9120188	-1133.25146
4650	6.52554512	-1136.70032
4660	-2.84515548	-1140.19165
4670	-12.1998901	-1143.72559
4680	-21.5384636	-1147.302
4690	-30.8606853	-1150.9209
4700	-40.1663628	-1154.58203
4710	-49.4552994	-1158.28552
4720	-58.7273064	-1162.03113
4730	-67.982193	-1165.81885
4740	-77.2197647	-1169.64856
4750	-86.4398422	-1173.52026
4760	-95.6422195	-1177.43384
4770	-104.826714	-1181.38928
4780	-113.993126	-1185.38635
4790	-123.141289	-1189.42505
4800	-132.270996	-1193.50525
4810	-141.38205	-1197.62695
4820	-150.474289	-1201.79004
4830	-159.547501	-1205.99438
4840	-168.601517	-1210.23987
4850	-177.636139	-1214.52661
4860	-186.651184	-1218.85425
4870	-195.646469	-1223.2229
4880	-204.621796	-1227.63232
4890	-213.576981	-1232.08252
4900	-222.511856	-1236.57336
4910	-231.426224	-1241.10486
4920	-240.319901	-1245.67676
4930	-249.192703	-1250.28906
4940	-258.044464	-1254.94153
4950	-266.874969	-1259.63428
4960	-275.684052	-1264.36719
4970	-284.471527	-1269.14001
4980	-293.237244	-1273.95276
4990	-301.980957	-1278.8053
5000	-310.702545	-1283.69751
5010	-319.401794	-1288.62927
5020	-328.078552	-1293.60059
5030	-336.732635	-1298.61133
5040	-345.363831	-1303.66125
5050	-353.971985	-1308.75037
5060	-362.556915	-1313.87866
5070	-371.118439	-1319.0459
5080	-379.656403	-1324.25195
5090	-388.170593	-1329.4967
5100	-396.660889	-1334.78015
5110	-405.127075	-1340.10217
5120	-413.56897	-1345.46265
5130	-421.986389	-1350.86133
5140	-430.379211	-1356.29834
5150	-438.747253	-1361.77332
5160	-447.090271	-1367.28638
5170	-455.408173	-1372.83728
5180	-463.700775	-1378.4259
5190	-471.967865	-1384.05225
5200	-480.20929	-1389.71594
5210	-488.424896	-1395.41724
5220	-496.614502	-1401.15564
5230	-504.670044	-1407.07922
5240	-512.420959	-1413.39612
5250	-519.846436	-1420.09241
5260	-526.927979	-1427.15149
5270	-533.647888	-1434.55579
5280	-539.989319	-1442.2865
5290	-545.936401	-1450.32458
5300	-551.474365	-1458.6499
5310	-556.589355	-1467.24158
5320	-561.268494	-1476.07812
5330	-565.500122	-1485.13745
5340	-569.273743	-1494.39709
5350	-572.579834	-1503.83362
5360	-575.410156	-1513.42358
5370	-577.757629	-1523.14307
5380	-579.616394	-1532.96777
5390	-580.981812	-1542.87305
5400	-581.850464	-1552.83423
5410	-582.220215	-1562.82642
5420	-582.090088	-1572.82446
5430	-581.460388	-1582.80359
5440	-580.332764	-1592.73877
5450	-578.710022	-1602.6051
5460	-576.59613	-1612.37805
5470	-573.996521	-1622.0332
5480	-570.917542	-1631.54626
5490	-567.366943	-1640.89368
5500	-563.353638	-1650.05188
5510	-558.887634	-1658.99805
5520	-553.980103	-1667.70984
5530	-548.64325	-1676.16541
5540	-542.890503	-1684.34375
5550	-536.736145	-1692.22424
5560	-530.195679	-1699.78748
5570	-523.285339	-1707.01428
5580	-516.022522	-1713.8866
5590	-508.425232	-1720.38745
5600	-500.512543	-1726.50049
5610	-492.30423	-1732.21033
5620	-483.820801	-1737.50281
5630	-475.083435	-1742.36475
5640	-466.114044	-1746.78381
5650	-456.934967	-1750.74915
5660	-447.569183	-1754.25073
5670	-438.04007	-1757.27991
5680	-428.371521	-1759.82898
5690	-418.587616	-1761.89172
5700	-408.71286	-1763.46277
5710	-398.771942	-1764.53845
5720	-388.789642	-1765.11584
5730	-378.790985	-1765.1936
5740	-368.800964	-1764.77161
5750	-358.844482	-1763.85083
5760	-348.946472	-1762.43359
5770	-339.131653	-1760.52344
5780	-329.424591	-1758.12512
5790	-319.849518	-1755.24463
5800	-310.430389	-1751.88916
5810	-301.190704	-1748.06714
5820	-292.153595	-1743.78821
5830	-283.341675	-1739.06287
5840	-274.776886	-1733.90295
5850	-266.480011	-1728.32251
5860	-258.288116	-1722.58728
5870	-250.064484	-1716.89771
5880	-241.809357	-1711.25391
5890	-233.52301	-1705.65601
5900	-225.205688	-1700.10425
5910	-216.857651	-1694.59888
5920	-208.479172	-1689.13989
5930	-200.07048	-1683.72754
5940	-191.631851	-1678.36194
5950	-183.163544	-1673.04333
5960	-174.665817	-1667.77185
5970	-166.138947	-1662.54761
5980	-157.583176	-1657.37097
5990	-148.998779	-1652.24182
6000	-140.386017	-1647.1604
6010	-131.745163	-1642.12708
6020	-123.076469	-1637.14172
6030	-114.380219	-1632.20459
6040	-105.656677	-1627.31592
6050	-96.9061127	-1622.47571
6060	-88.1287918	-1617.6842
6070	-79.3249817	-1612.94153
6080	-70.4949646	-1608.24792
6090	-61.6390076	-1603.60339
6100	-52.7573853	-1599.00806
6110	-43.8503685	-1594.46228
6120	-34.9182358	-1589.96594
6130	-25.9612598	-1585.51929
6140	-16.9797211	-1581.12256
6150	-7.97389317	-1576.77576
6160	1.0559442	-1572.479
6170	10.1095123	-1568.23254
6180	19.186533	-1564.03638
6190	28.2867241	-1559.89075
6200	37.4098091	-1555.79578
6210	46.5555	-1551.75146
6220	55.7235184	-1547.75806
6230	64.9135818	-1543.81567
6240	74.1254044	-1539.92444
6250	83.3587036	-1536.08435
6260	92.6131897	-1532.29565
6270	101.888588	-1528.55847
6280	111.184601	-1524.8728
6290	120.500946	-1521.23889
6300	129.837341	-1517.65674
6310	139.193481	-1514.12659
6320	148.569107	-1510.64844
6330	157.963898	-1507.22241
6340	167.377579	-1503.84863
6350	176.80986	-1500.52722
6360	186.260437	-1497.2583
6370	195.72905	-1494.04187
6380	205.215363	-1490.87805
6390	214.719116	-1487.76709
6400	224.240005	-1484.70886
6410	233.77774	-1481.70361
6420	243.332031	-1478.75146
6430	252.902557	-1475.85242
6440	262.489044	-1473.00659
6450	272.091217	-1470.21399
6460	281.70874	-1467.47485
6470	291.341339	-1464.78918
6480	300.988678	-1462.15698
6490	310.650513	-1459.57849
6500	320.326538	-1457.05371
6510	330.016418	-1454.58276
6520	339.719879	-1452.16565
6530	349.436646	-1449.80249
6540	359.166351	-1447.49329
6550	368.908783	-1445.23828
6560	378.663544	-1443.03735
6570	388.43042	-1440.89062
6580	398.209045	-1438.79822
6590	407.999146	-1436.76025
6600	417.800415	-1434.77661
6610	427.612579	-1432.84753
6620	437.435272	-1430.9729
6630	447.26825	-1429.15295
6640	457.111206	-1427.38757
6650	466.963776	-1425.677
6660	476.825714	-1424.02112
6670	486.696716	-1422.42004
6680	496.576447	-1420.8739
6690	506.4646	-1419.38269
6700	516.360901	-1417.94629
6710	526.265015	-1416.56506
6720	536.176697	-1415.23877
6730	546.09552	-1413.96753
6740	556.021301	-1412.75146
6750	565.953674	-1411.59058
6760	575.892334	-1410.48499
6770	585.837036	-1409.43445
6780	595.787354	-1408.43921
6790	605.743103	-1407.49939
6800	615.703857	-1406.61475
6810	625.669434	-1405.78552
6820	635.639404	-1405.01172
6830	645.613586	-1404.29321
6840	655.591553	-1403.63013
6850	665.573059	-1403.02258
6860	675.5578	-1402.47046
6870	685.54541	-1401.97388
6880	695.535706	-1401.53271
6890	705.528259	-1401.14697
6900	715.522766	-1400.81689
6910	725.518982	-1400.54224
6920	735.516602	-1400.32324
6930	745.515198	-1400.15967
6940	755.514648	-1400.05176
6950	765.514465	-1399.99939
6960	775.514465	-1400.00305
6970	785.514282	-1400.06519
6980	795.513489	-1400.18616
6990	805.511902	-1400.36584
7000	815.509033	-1400.60449
7010	825.504578	-1400.90186
7020	835.49823	-1401.25806
7030	845.489624	-1401.67297
7040	855.478333	-1402.14673
7050	865.464172	-1402.6792
7060	875.446655	-1403.27051
7070	885.425476	-1403.92041
7080	895.40033	-1404.62903
7090	905.37085	-1405.39624
7100	915.33667	-1406.22217
7110	925.297424	-1407.10669
7120	935.252869	-1408.0498
7130	945.202576	-1409.05139
7140	955.146179	-1410.11157
7150	965.083435	-1411.23022
7160	975.013916	-1412.40723
7170	984.937256	-1413.6427
7180	994.85321	-1414.93652
7190	1004.76135	-1416.28857
7200	1014.66138	-1417.69897
7210	1024.55298	-1419.16748
7220	1034.43567	-1420.69421
7230	1044.30933	-1422.27917
7240	1054.17346	-1423.922
7250	1064.02771	-1425.62292
7260	1073.87183	-1427.38171
7270	1083.70532	-1429.19849
7280	1093.52808	-1431.073
7290	1103.3396	-1433.00525
7300	1113.13965	-1434.99512
7310	1122.92773	-1437.04272
7320	1132.70361	-1439.14783
7330	1142.46692	-1441.31042
7340	1152.21741	-1443.5304
7350	1161.95471	-1445.80762
7360	1171.67834	-1448.14209
7370	1181.38806	-1450.53381
7380	1191.08362	-1452.98254
7390	1200.76465	-1455.48828
7400	1210.43066	-1458.0509
7410	1220.08142	-1460.67041
7420	1229.71667	-1463.34656
7430	1239.33606	-1466.07935
7440	1248.93909	-1468.86877
7450	1258.52563	-1471.71448
7460	1268.09521	-1474.6167
7470	1277.64758	-1477.57507
7480	1287.18237	-1480.5896
7490	1296.69934	-1483.66003
7500	1306.198	-1486.78662
7510	1315.6781	-1489.96887
7520	1325.13928	-1493.20691
7530	1334.58142	-1496.50049
7540	1344.00391	-1499.84949
7550	1353.40649	-1503.25403
7560	1362.78894	-1506.71375
7570	1372.15088	-1510.22852
7580	1381.49194	-1513.79834
7590	1390.81189	-1517.4231
7600	1400.11035	-1521.10254
7610	1409.38696	-1524.83667
7620	1418.64148	-1528.62537
7630	1427.87354	-1532.46838
7640	1437.08289	-1536.3656
7650	1446.26904	-1540.31689
7660	1455.43188	-1544.32227
7670	1464.57092	-1548.38135
7680	1473.68604	-1552.49414
7690	1482.77673	-1556.66052
7700	1491.84277	-1560.88037
7710	1500.88391	-1565.15332
7720	1509.89966	-1569.47949
7730	1518.88977	-1573.85864
7740	1527.854	-1578.29053
7750	1536.79211	-1582.77515
7760	1545.70361	-1587.31213
7770	1554.58826	-1591.90149
7780	1563.4458	-1596.54309
7790	1572.27576	-1601.23669
7800	1581.07812	-1605.98218
7810	1589.85229	-1610.77942
7820	1598.59814	-1615.62805
7830	1607.31531	-1620.52808
7840	1616.00354	-1625.47937
7850	1624.66248	-1630.48169
7860	1633.29187	-1635.53479
7870	1641.89124	-1640.63855
7880	1650.46057	-1645.79285
7890	1658.99939	-1650.99744
7900	1667.50757	-1656.2522
7910	1675.9845	-1661.55688
7920	1684.43018	-1666.91138
7930	1692.84424	-1672.31543
7940	1701.22632	-1677.76892
7950	1709.57617	-1683.27148
7960	1717.89355	-1688.82324
7970	1726.1781	-1694.42371
7980	1734.42957	-1700.07288
7990	1742.64771	-1705.77051
8000	1750.83215	-1711.51636
8010	1758.98267	-1717.31018
8020	1767.09888	-1723.15198
8030	1775.18066	-1729.04138
8040	1783.22766	-1734.97815
8050	1791.23962	-1740.96216
8060	1799.21619	-1746.99329
8070	1807.1571	-1753.07117
8080	1815.06226	-1759.19556
8090	1822.93115	-1765.36646
8100	1830.76367	-1771.58362
8110	1838.55945	-1777.84656
8120	1846.31824	-1784.1554
8130	1854.03979	-1790.50964
8140	1861.72388	-1796.9093
8150	1869.37012	-1803.354
8160	1876.97827	-1809.84363
8170	1884.54822	-1816.37781
8180	1892.07959	-1822.95642
8190	1899.57214	-1829.57922
8200	1907.02551	-1836.24597
8210	1914.4397	-1842.95654
8220	1921.81421	-1849.71057
8230	1929.1488	-1856.50781
8240	1936.44336	-1863.34802
8250	1943.69751	-1870.2312
8260	1950.91101	-1877.15674
8270	1958.08374	-1884.12476
8280	1965.21533	-1891.13477
8290	1972.30554	-1898.18665
8300	1979.35413	-1905.28003
8310	1986.36084	-1912.41479
8320	1993.32556	-1919.5907
8330	2000.24792	-1926.80737
8340	2007.12769	-1934.0647
8350	2013.9646	-1941.3623
8360	2020.75854	-1948.70007
8370	2027.50916	-1956.07764
8380	2034.21631	-1963.49475
8390	2040.87964	-1970.95129
8400	2047.49915	-1978.44678
8410	2054.07422	-1985.9812
8420	2060.60498	-1993.55408
8430	2067.09106	-2001.16528
8440	2073.53247	-2008.81445
8450	2079.92847	-2016.50146
8460	2086.2793	-2024.22595
8470	2092.58447	-2031.98755
8480	2098.84399	-2039.78625
8490	2105.05737	-2047.62158
8500	2111.22485	-2055.49341
8510	2117.3457	-2063.40112
8520	2123.41992	-2071.34497
8530	2129.44727	-2079.32422
8540	2135.42773	-2087.33887
8550	2141.36084	-2095.38867
8560	2147.24658	-2103.47314
8570	2153.08447	-2111.59204
8580	2158.87476	-2119.74512
8590	2164.6167	-2127.93213
8600	2170.31055	-2136.15283
8610	2175.95605	-2144.40698
8620	2181.55273	-2152.69409
8630	2187.10059	-2161.01392
8640	2192.59961	-2169.36621
8650	2198.04907	-2177.75098
8660	2203.44946	-2186.16748
8670	2208.80005	-2194.61548
8680	2214.10083	-2203.09497
8690	2219.35181	-2211.60547
8700	2224.55249	-2220.14673
8710	2229.70288	-2228.71826
8720	2234.80273	-2237.32007
8730	2239.85181	-2245.95166
8740	2244.8501	-2254.61304
8750	2249.79736	-2263.30347
8760	2254.6936	-2272.02295
8770	2259.53833	-2280.771
8780	2264.3313	-2289.54736
8790	2269.07275	-2298.35181
8800	2273.76245	-2307.18384
8810	2278.3999	-2316.04346
8820	2282.98535	-2324.93042
8830	2287.51831	-2333.84399
8840	2291.99878	-2342.78394
8850	2296.42651	-2351.75024
8860	2300.80151	-2360.74243
8870	2305.12354	-2369.76025
8880	2309.39258	-2378.80322
8890	2313.60815	-2387.87109
8900	2317.77051	-2396.96387
8910	2321.87915	-2406.08081
8920	2325.93408	-2415.22168
8930	2329.93506	-2424.38623
8940	2333.88232	-2433.57422
8950	2337.77539	-2442.7854
8960	2341.61426	-2452.01929
8970	2345.39844	-2461.27539
8980	2349.12842	-2470.55371
8990	2352.80371	-2479.854
9000	2356.42407	-2489.17554
9010	2359.98975	-2498.51831
9020	2363.50024	-2507.88184
9030	2366.95581	-2517.26587
9040	2370.35596	-2526.66992
9050	2373.70068	-2536.09399
9060	2376.98999	-2545.5376
9070	2380.22363	-2555.00024
9080	2383.40161	-2564.48169
