# format	robotrace-shortcut-course-v1
# course_id	2012alljapan_pre
# source_file	examples/synthetic/2012alljapan_pre.json
# source_hash	b9cb6bca387886a6b380c63112b85fd48e0fa682ad92f4fa794fce2989730df9
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
4450	-258.432617	-2068.05469
4460	-266.69632	-2062.42529
4470	-274.668365	-2056.38989
4480	-282.328796	-2049.96362
4490	-289.658478	-2043.16248
4500	-296.639099	-2036.00354
4510	-303.253174	-2028.50476
4520	-309.484222	-2020.68469
4530	-315.31662	-2012.56299
4540	-320.735809	-2004.15991
4550	-325.728271	-1995.49646
4560	-330.281494	-1986.59436
4570	-334.384094	-1977.47583
4580	-338.025848	-1968.1637
4590	-341.197632	-1958.68115
4600	-343.89151	-1949.05188
4610	-346.100769	-1939.30005
4620	-347.819855	-1929.44995
4630	-349.044525	-1919.52625
4640	-349.771667	-1909.55383
4650	-350	-1899.55737
4660	-350	-1889.55737
4670	-350	-1879.55737
4680	-350	-1869.55737
4690	-350	-1859.55737
4700	-350	-1849.55737
4710	-350	-1839.55737
4720	-350	-1829.55737
4730	-350	-1819.55737
4740	-350	-1809.55737
4750	-350	-1799.55737
4760	-350	-1789.55737
4770	-350	-1779.55737
4780	-350	-1769.55737
4790	-350	-1759.55737
4800	-350	-1749.55737
4810	-350	-1739.55737
4820	-350	-1729.55737
4830	-350	-1719.55737
4840	-350	-1709.55737
4850	-350	-1699.55737
4860	-350	-1689.55737
4870	-350	-1679.55737
4880	-350	-1669.55737
4890	-350	-1659.55737
4900	-350	-1649.55737
4910	-350	-1639.55737
4920	-350	-1629.55737
4930	-350	-1619.55737
4940	-350	-1609.55737
4950	-350	-1599.55737
4960	-350	-1589.55737
4970	-350	-1579.55737
4980	-350	-1569.55737
4990	-350	-1559.55737
5000	-350	-1549.55737
5010	-350	-1539.55737
5020	-350	-1529.55737
5030	-350	-1519.55737
5040	-350	-1509.55737
5050	-350	-1499.55737
5060	-350	-1489.55737
5070	-350	-1479.55737
5080	-350	-1469.55737
5090	-350	-1459.55737
5100	-350	-1449.55737
5110	-350	-1439.55737
5120	-350	-1429.55737
5130	-350	-1419.55737
5140	-350	-1409.55737
5150	-350	-1399.55737
5160	-350	-1389.55737
5170	-350	-1379.55737
5180	-350	-1369.55737
5190	-350	-1359.55737
5200	-350	-1349.55737
5210	-350	-1339.55737
5220	-350	-1329.55737
5230	-350	-1319.55737
5240	-350	-1309.55737
5250	-350	-1299.55737
5260	-350	-1289.55737
5270	-350	-1279.55737
5280	-350	-1269.55737
5290	-350	-1259.55737
5300	-350	-1249.55737
5310	-350	-1239.55737
5320	-350	-1229.55737
5330	-350	-1219.55737
5340	-350	-1209.55737
5350	-350	-1199.55737
5360	-350	-1189.55737
5370	-350	-1179.55737
5380	-350	-1169.55737
5390	-350	-1159.55737
5400	-350	-1149.55737
5410	-350	-1139.55737
5420	-350	-1129.55737
5430	-350	-1119.55737
5440	-350	-1109.55737
5450	-350	-1099.55737
5460	-350	-1089.55737
5470	-350	-1079.55737
5480	-350	-1069.55737
5490	-350	-1059.55737
5500	-350	-1049.55737
5510	-350	-1039.55737
5520	-350	-1029.55737
5530	-350	-1019.55743
5540	-350	-1009.55743
5550	-350	-999.557434
5560	-350	-989.557434
5570	-350	-979.557434
5580	-350	-969.557434
5590	-350	-959.557434
5600	-350.000488	-949.557434
5610	-350.272552	-939.562195
5620	-351.043823	-929.593018
5630	-352.312408	-919.674866
5640	-354.075104	-909.832458
5650	-356.327484	-900.090515
5660	-359.063965	-890.473328
5670	-362.277679	-881.004883
5680	-365.960602	-871.708862
5690	-370.103516	-862.608582
5700	-374.696106	-853.726746
5710	-379.726837	-845.08551
5720	-385.183167	-836.706482
5730	-391.051483	-828.610718
5740	-397.317047	-820.818298
5750	-403.964264	-813.348755
5760	-410.976471	-806.220764
5770	-418.336182	-799.452209
5780	-426.024994	-793.059875
5790	-434.023651	-787.059875
5800	-442.312225	-781.467102
5810	-450.869934	-776.295593
5820	-459.675415	-771.558228
5830	-468.706665	-767.266846
5840	-477.941132	-763.432251
5850	-487.355682	-760.063965
5860	-496.926819	-757.170471
5870	-506.630585	-754.75885
5880	-516.44281	-752.835327
5890	-526.338867	-751.404541
5900	-536.294067	-750.470215
5910	-546.283508	-750.034546
5920	-556.282288	-750.098694
5930	-566.26532	-750.662476
5940	-576.207703	-751.724548
5950	-586.084595	-753.282166
5960	-595.871277	-755.331482
5970	-605.543335	-757.867371
5980	-615.076538	-760.883545
5990	-624.447144	-764.372314
6000	-633.631592	-768.325134
6010	-642.607056	-772.731995
6020	-651.351013	-777.58197
6030	-659.841675	-782.862915
6040	-668.057739	-788.561584
6050	-675.97876	-794.663757
6060	-683.5849	-801.154175
6070	-690.857178	-808.016663
6080	-697.777344	-815.23407
6090	-704.328125	-822.788269
6100	-710.493225	-830.6604
6110	-716.257141	-838.830872
6120	-721.837158	-847.128906
6130	-727.678955	-855.244568
6140	-733.787903	-863.161072
6150	-740.157349	-870.869629
6160	-746.780151	-878.361572
6170	-753.648926	-885.628662
6180	-760.756104	-892.662781
6190	-768.09375	-899.456116
6200	-775.653687	-906.00116
6210	-783.427612	-912.290588
6220	-791.406799	-918.317444
6230	-799.582458	-924.075073
6240	-807.945374	-929.557007
6250	-816.486389	-934.757141
6260	-825.195984	-939.6698
6270	-834.064453	-944.289429
6280	-843.08197	-948.610962
6290	-852.238464	-952.629517
6300	-861.523804	-956.340759
6310	-870.927673	-959.740417
6320	-880.439636	-962.824768
6330	-890.049133	-965.590454
6340	-899.745422	-968.034363
6350	-909.517761	-970.153687
6360	-919.355347	-971.946167
6370	-929.247192	-973.409851
6380	-939.182312	-974.54303
6390	-949.149658	-975.344421
6400	-959.138245	-975.813232
6410	-969.136841	-975.948914
6420	-979.134399	-975.751221
6430	-989.119873	-975.22052
6440	-999.082092	-974.3573
6450	-1009.00995	-973.162537
6460	-1018.89252	-971.637573
6470	-1028.71875	-969.784058
6480	-1038.47778	-967.604187
6490	-1048.15881	-965.10022
6500	-1057.75098	-962.275024
6510	-1067.24353	-959.131714
6520	-1076.62622	-955.673767
6530	-1085.88831	-951.905029
6540	-1095.01978	-947.829773
6550	-1104.01025	-943.452393
6560	-1112.84998	-938.777893
6570	-1121.52893	-933.81134
6580	-1130.03748	-928.558289
6590	-1138.36633	-923.024597
6600	-1146.5061	-917.21637
6610	-1154.44775	-911.140137
6620	-1162.1825	-904.802612
6630	-1169.73083	-898.243774
6640	-1177.47827	-891.922729
6650	-1185.53198	-885.996704
6660	-1193.87183	-880.480652
6670	-1202.47681	-875.388306
6680	-1211.32568	-870.732422
6690	-1220.39612	-866.524597
6700	-1229.66553	-862.77533
6710	-1239.11084	-859.49408
6720	-1248.70825	-856.688965
6730	-1258.43384	-854.367065
6740	-1268.26343	-852.534058
6750	-1278.17224	-851.194702
6760	-1288.13562	-850.352234
6770	-1298.12866	-850.008728
