# format	robotrace-shortcut-course-v1
# course_id	2025kansai
# source_file	examples/synthetic/2025kansai.json
# source_hash	3fba41f5cb6c18c170753adaedefe5e98d896bde0f302cd02197e4860108fcf6
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
4060	-350	-2085.56836
4070	-350	-2095.56836
4080	-350	-2105.56836
4090	-350	-2115.56836
4100	-350	-2125.56836
4110	-350	-2135.56836
4120	-350	-2145.56836
4130	-350	-2155.56836
4140	-350	-2165.56836
4150	-350	-2175.56836
4160	-350	-2185.56836
4170	-350	-2195.56836
4180	-350	-2205.56836
4190	-350	-2215.56836
4200	-350	-2225.56836
4210	-350	-2235.56836
4220	-350	-2245.56836
4230	-350	-2255.56836
4240	-350	-2265.56836
4250	-350	-2275.56836
4260	-350	-2285.56836
4270	-350	-2295.56836
4280	-350	-2305.56836
4290	-350	-2315.56836
4300	-350	-2325.56836
4310	-350	-2335.56836
4320	-350	-2345.56836
4330	-350	-2355.56836
4340	-350	-2365.56836
4350	-350	-2375.56836
4360	-350	-2385.56836
4370	-350	-2395.56836
4380	-350.077515	-2405.56763
4390	-350.605621	-2415.55273
4400	-351.632141	-2425.49878
4410	-353.154449	-2435.38135
4420	-355.168793	-2445.17529
4430	-357.670105	-2454.8562
4440	-360.65213	-2464.40015
4450	-364.107422	-2473.7832
4460	-368.027374	-2482.98169
4470	-372.40213	-2491.9729
4480	-377.220825	-2500.73413
4490	-382.471344	-2509.24365
4500	-388.140625	-2517.47998
4510	-394.214447	-2525.42285
4520	-400.677673	-2533.052
4530	-407.514099	-2540.34863
4540	-414.706696	-2547.29468
4550	-422.237457	-2553.87256
4560	-430.087524	-2560.06567
4570	-438.237335	-2565.85864
4580	-446.666504	-2571.2373
4590	-455.353912	-2576.18774
4600	-464.277924	-2580.698
4610	-473.416199	-2584.75635
4620	-482.74585	-2588.35303
4630	-492.243652	-2591.479
4640	-501.885773	-2594.12622
4650	-511.648193	-2596.28833
4660	-521.50647	-2597.95996
4670	-531.435913	-2599.13647
4680	-541.411804	-2599.81543
4690	-551.40918	-2600
4700	-561.40918	-2600
4710	-571.40918	-2600
4720	-581.40918	-2600
4730	-591.40918	-2600
4740	-601.40918	-2600
4750	-611.40918	-2600
4760	-621.40918	-2600
4770	-631.40918	-2600
4780	-641.40918	-2600
4790	-651.40918	-2599.99658
4800	-661.406433	-2599.78296
4810	-671.390991	-2599.23633
4820	-681.351807	-2598.35718
4830	-691.277832	-2597.14673
4840	-701.157898	-2595.60596
4850	-710.981201	-2593.73682
4860	-720.736755	-2591.54126
4870	-730.413696	-2589.02197
4880	-740.001282	-2586.1814
4890	-749.488953	-2583.02295
4900	-758.866028	-2579.55005
4910	-768.122131	-2575.7666
4920	-777.247009	-2571.67651
4930	-786.230591	-2567.28491
4940	-795.062744	-2562.59619
4950	-803.733765	-2557.61597
4960	-812.233948	-2552.34937
4970	-820.553894	-2546.80225
4980	-828.684387	-2540.9812
4990	-836.616333	-2534.89209
5000	-844.340942	-2528.54224
5010	-851.84967	-2521.93848
